합체,형태소,품사,분류,카운트,상대빈도,시각화용,,
고객_Noun,고객,Noun,비비큐 After,38,0.02%,고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 고객 ,,
고고_Noun,고고,Noun,비비큐 After,9,0.01%,고고 고고 고고 고고 고고 고고 고고 고고 고고 ,,
고구마_Noun,고구마,Noun,비비큐 After,16,0.01%,고구마 고구마 고구마 고구마 고구마 고구마 고구마 고구마 고구마 고구마 고구마 고구마 고구마 고구마 고구마 고구마 ,,
고규필_Noun,고규필,Noun,비비큐 After,2,0.00%,고규필 고규필 ,,
고급_Noun,고급,Noun,비비큐 After,8,0.00%,고급 고급 고급 고급 고급 고급 고급 고급 ,,
고급스러운_Adjective,고급스러운,Adjective,비비큐 After,2,0.00%,고급스러운 고급스러운 ,,
고기_Noun,고기,Noun,비비큐 After,7,0.00%,고기 고기 고기 고기 고기 고기 고기 ,,
고뇌_Noun,고뇌,Noun,비비큐 After,2,0.00%,고뇌 고뇌 ,,
고니_Noun,고니,Noun,비비큐 After,1,0.00%,고니 ,,
고당_Noun,고당,Noun,비비큐 After,4,0.00%,고당 고당 고당 고당 ,,
고도_Noun,고도,Noun,비비큐 After,12,0.01%,고도 고도 고도 고도 고도 고도 고도 고도 고도 고도 고도 고도 ,,
고등학교_Noun,고등학교,Noun,비비큐 After,2,0.00%,고등학교 고등학교 ,,
고라_Noun,고라,Noun,비비큐 After,4,0.00%,고라 고라 고라 고라 ,,
고라니_Noun,고라니,Noun,비비큐 After,2,0.00%,고라니 고라니 ,,
고랑_Noun,고랑,Noun,비비큐 After,2,0.00%,고랑 고랑 ,,
고래_Noun,고래,Noun,비비큐 After,3,0.00%,고래 고래 고래 ,,
고로_Noun,고로,Noun,비비큐 After,6,0.00%,고로 고로 고로 고로 고로 고로 ,,
고마운데_Adjective,고마운데,Adjective,비비큐 After,2,0.00%,고마운데 고마운데 ,,
고마워_Adjective,고마워,Adjective,비비큐 After,4,0.00%,고마워 고마워 고마워 고마워 ,,
고마워서_Adjective,고마워서,Adjective,비비큐 After,4,0.00%,고마워서 고마워서 고마워서 고마워서 ,,
고마워요_Adjective,고마워요,Adjective,비비큐 After,18,0.01%,고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 고마워요 ,,
고맙다_Adjective,고맙다,Adjective,비비큐 After,2,0.00%,고맙다 고맙다 ,,
고명_Noun,고명,Noun,비비큐 After,1,0.00%,고명 ,,
고모_Noun,고모,Noun,비비큐 After,1,0.00%,고모 ,,
고모부_Noun,고모부,Noun,비비큐 After,6,0.00%,고모부 고모부 고모부 고모부 고모부 고모부 ,,
고민_Noun,고민,Noun,비비큐 After,11,0.01%,고민 고민 고민 고민 고민 고민 고민 고민 고민 고민 고민 ,,
고백_Noun,고백,Noun,비비큐 After,2,0.00%,고백 고백 ,,
고비_Noun,고비,Noun,비비큐 After,2,0.00%,고비 고비 ,,
고사_Noun,고사,Noun,비비큐 After,2,0.00%,고사 고사 ,,
고삼_Noun,고삼,Noun,비비큐 After,1,0.00%,고삼 ,,
고생_Noun,고생,Noun,비비큐 After,20,0.01%,고생 고생 고생 고생 고생 고생 고생 고생 고생 고생 고생 고생 고생 고생 고생 고생 고생 고생 고생 고생 ,,
고서은_Noun,고서은,Noun,비비큐 After,1,0.00%,고서은 ,,
고소함_Adjective,고소함,Adjective,비비큐 After,2,0.00%,고소함 고소함 ,,
고소함과_Adjective,고소함과,Adjective,비비큐 After,2,0.00%,고소함과 고소함과 ,,
고소해_Adjective,고소해,Adjective,비비큐 After,2,0.00%,고소해 고소해 ,,
고시_Noun,고시,Noun,비비큐 After,2,0.00%,고시 고시 ,,
고양이_Noun,고양이,Noun,비비큐 After,1,0.00%,고양이 ,,
고영상_Noun,고영상,Noun,비비큐 After,2,0.00%,고영상 고영상 ,,
고영우_Noun,고영우,Noun,비비큐 After,1,0.00%,고영우 ,,
고왕_Noun,고왕,Noun,비비큐 After,704,0.42%,고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 고왕 ,,
고용_Noun,고용,Noun,비비큐 After,2,0.00%,고용 고용 ,,
고우영_Noun,고우영,Noun,비비큐 After,1,0.00%,고우영 ,,
고의_Noun,고의,Noun,비비큐 After,2,0.00%,고의 고의 ,,
고이_Noun,고이,Noun,비비큐 After,2,0.00%,고이 고이 ,,
고인_Noun,고인,Noun,비비큐 After,2,0.00%,고인 고인 ,,
고전_Noun,고전,Noun,비비큐 After,2,0.00%,고전 고전 ,,
고정_Noun,고정,Noun,비비큐 After,11,0.01%,고정 고정 고정 고정 고정 고정 고정 고정 고정 고정 고정 ,,
고준혁_Noun,고준혁,Noun,비비큐 After,2,0.00%,고준혁 고준혁 ,,
고지_Noun,고지,Noun,비비큐 After,4,0.00%,고지 고지 고지 고지 ,,
고집_Noun,고집,Noun,비비큐 After,4,0.00%,고집 고집 고집 고집 ,,
고추_Noun,고추,Noun,비비큐 After,2,0.00%,고추 고추 ,,
고추장_Noun,고추장,Noun,비비큐 After,2,0.00%,고추장 고추장 ,,
고하_Noun,고하,Noun,비비큐 After,32,0.02%,고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 고하 ,,
고해_Noun,고해,Noun,비비큐 After,36,0.02%,고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 고해 ,,
고향_Noun,고향,Noun,비비큐 After,6,0.00%,고향 고향 고향 고향 고향 고향 ,,
고형_Noun,고형,Noun,비비큐 After,1,0.00%,고형 ,,
고혜진_Noun,고혜진,Noun,비비큐 After,1,0.00%,고혜진 ,,
곡괭쓰_Noun,곡괭쓰,Noun,비비큐 After,2,0.00%,곡괭쓰 곡괭쓰 ,,
곤_Noun,곤,Noun,비비큐 After,2,0.00%,곤 곤 ,,
곤듀님_Noun,곤듀님,Noun,비비큐 After,1,0.00%,곤듀님 ,,
곤란하죠_Adjective,곤란하죠,Adjective,비비큐 After,2,0.00%,곤란하죠 곤란하죠 ,,
곤지_Noun,곤지,Noun,비비큐 After,2,0.00%,곤지 곤지 ,,
곧_Noun,곧,Noun,비비큐 After,11,0.01%,곧 곧 곧 곧 곧 곧 곧 곧 곧 곧 곧 ,,
곧있음_Adjective,곧있음,Adjective,비비큐 After,2,0.00%,곧있음 곧있음 ,,
골_Noun,골,Noun,비비큐 After,5,0.00%,골 골 골 골 골 ,,
골계_Verb,골계,Verb,비비큐 After,2,0.00%,골계 골계 ,,
골드_Noun,골드,Noun,비비큐 After,3,0.00%,골드 골드 골드 ,,
골든벨_Noun,골든벨,Noun,비비큐 After,2,0.00%,골든벨 골든벨 ,,
골란_Verb,골란,Verb,비비큐 After,2,0.00%,골란 골란 ,,
골목_Noun,골목,Noun,비비큐 After,2,0.00%,골목 골목 ,,
골프_Noun,골프,Noun,비비큐 After,6,0.00%,골프 골프 골프 골프 골프 골프 ,,
곰_Noun,곰,Noun,비비큐 After,8,0.00%,곰 곰 곰 곰 곰 곰 곰 곰 ,,
곰곰_Adverb,곰곰,Adverb,비비큐 After,1,0.00%,곰곰 ,,
곰돌이_Noun,곰돌이,Noun,비비큐 After,7,0.00%,곰돌이 곰돌이 곰돌이 곰돌이 곰돌이 곰돌이 곰돌이 ,,
곰손_Noun,곰손,Noun,비비큐 After,1,0.00%,곰손 ,,
곰팅_Noun,곰팅,Noun,비비큐 After,1,0.00%,곰팅 ,,
곰팡이_Noun,곰팡이,Noun,비비큐 After,1,0.00%,곰팡이 ,,
곱창_Noun,곱창,Noun,비비큐 After,1,0.00%,곱창 ,,
곳_Noun,곳,Noun,비비큐 After,60,0.04%,곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 곳 ,,
공_Modifier,공,Modifier,비비큐 After,3,0.00%,공 공 공 ,,
공_Noun,공,Noun,비비큐 After,6,0.00%,공 공 공 공 공 공 ,,
공감_Noun,공감,Noun,비비큐 After,8,0.00%,공감 공감 공감 공감 공감 공감 공감 공감 ,,
공개_Noun,공개,Noun,비비큐 After,6,0.00%,공개 공개 공개 공개 공개 공개 ,,
공경_Noun,공경,Noun,비비큐 After,1,0.00%,공경 ,,
공기_Noun,공기,Noun,비비큐 After,3,0.00%,공기 공기 공기 ,,
공동_Noun,공동,Noun,비비큐 After,2,0.00%,공동 공동 ,,
공부_Noun,공부,Noun,비비큐 After,2,0.00%,공부 공부 ,,
공손하게_Adjective,공손하게,Adjective,비비큐 After,2,0.00%,공손하게 공손하게 ,,
공식_Noun,공식,Noun,비비큐 After,8,0.00%,공식 공식 공식 공식 공식 공식 공식 공식 ,,
공신_Noun,공신,Noun,비비큐 After,2,0.00%,공신 공신 ,,
공신이_Foreign,공신이,Foreign,비비큐 After,2,0.00%,공신이 공신이 ,,
공약_Noun,공약,Noun,비비큐 After,6,0.00%,공약 공약 공약 공약 공약 공약 ,,
공원_Noun,공원,Noun,비비큐 After,1,0.00%,공원 ,,
공유_Noun,공유,Noun,비비큐 After,2,0.00%,공유 공유 ,,
공주_Noun,공주,Noun,비비큐 After,11,0.01%,공주 공주 공주 공주 공주 공주 공주 공주 공주 공주 공주 ,,
공중파_Noun,공중파,Noun,비비큐 After,10,0.01%,공중파 공중파 공중파 공중파 공중파 공중파 공중파 공중파 공중파 공중파 ,,
공차_Noun,공차,Noun,비비큐 After,6,0.00%,공차 공차 공차 공차 공차 공차 ,,
공통점_Noun,공통점,Noun,비비큐 After,2,0.00%,공통점 공통점 ,,
공포증_Noun,공포증,Noun,비비큐 After,2,0.00%,공포증 공포증 ,,
공학_Noun,공학,Noun,비비큐 After,1,0.00%,공학 ,,
공휴일_Noun,공휴일,Noun,비비큐 After,2,0.00%,공휴일 공휴일 ,,
곸_Noun,곸,Noun,비비큐 After,34,0.02%,곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 곸 ,,
곸느띰인거앝아옄_Noun,곸느띰인거앝아옄,Noun,비비큐 After,2,0.00%,곸느띰인거앝아옄 곸느띰인거앝아옄 ,,
곸큐큐큨_Noun,곸큐큐큨,Noun,비비큐 After,2,0.00%,곸큐큐큨 곸큐큐큨 ,,
과_Josa,과,Josa,비비큐 After,94,0.06%,과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 과 ,,
과_Noun,과,Noun,비비큐 After,8,0.00%,과 과 과 과 과 과 과 과 ,,
과감_Noun,과감,Noun,비비큐 After,4,0.00%,과감 과감 과감 과감 ,,
과거_Noun,과거,Noun,비비큐 After,2,0.00%,과거 과거 ,,
과는_Josa,과는,Josa,비비큐 After,4,0.00%,과는 과는 과는 과는 ,,
과대_Noun,과대,Noun,비비큐 After,2,0.00%,과대 과대 ,,
과연_Noun,과연,Noun,비비큐 After,4,0.00%,과연 과연 과연 과연 ,,
과의_Josa,과의,Josa,비비큐 After,4,0.00%,과의 과의 과의 과의 ,,
과자_Noun,과자,Noun,비비큐 After,4,0.00%,과자 과자 과자 과자 ,,
과장_Noun,과장,Noun,비비큐 After,2,0.00%,과장 과장 ,,
과정_Noun,과정,Noun,비비큐 After,6,0.00%,과정 과정 과정 과정 과정 과정 ,,
과제_Noun,과제,Noun,비비큐 After,8,0.00%,과제 과제 과제 과제 과제 과제 과제 과제 ,,
곽순_Noun,곽순,Noun,비비큐 After,1,0.00%,곽순 ,,
곽정현_Noun,곽정현,Noun,비비큐 After,1,0.00%,곽정현 ,,
관_Noun,관,Noun,비비큐 After,3,0.00%,관 관 관 ,,
관계_Noun,관계,Noun,비비큐 After,2,0.00%,관계 관계 ,,
관대하_Adjective,관대하,Adjective,비비큐 After,1,0.00%,관대하 ,,
관람_Noun,관람,Noun,비비큐 After,2,0.00%,관람 관람 ,,
관련_Noun,관련,Noun,비비큐 After,6,0.00%,관련 관련 관련 관련 관련 관련 ,,
관리_Noun,관리,Noun,비비큐 After,10,0.01%,관리 관리 관리 관리 관리 관리 관리 관리 관리 관리 ,,
관린_Noun,관린,Noun,비비큐 After,3,0.00%,관린 관린 관린 ,,
관상_Noun,관상,Noun,비비큐 After,4,0.00%,관상 관상 관상 관상 ,,
관심_Noun,관심,Noun,비비큐 After,28,0.02%,관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 관심 ,,
관점_Noun,관점,Noun,비비큐 After,2,0.00%,관점 관점 ,,
광_Noun,광,Noun,비비큐 After,32,0.02%,광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 광 ,,
광고_Foreign,광고,Foreign,비비큐 After,2,0.00%,광고 광고 ,,
